policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 0: Reward 14
Episode 1: Reward 16
Episode 2: Reward 36
Episode 3: Reward 14
Episode 4: Reward 31
Episode 5: Reward 21
Episode 6: Reward 36
Episode 7: Reward 13
Episode 8: Reward 21
Episode 9: Reward 22
Episode 10: Reward 19
Episode 11: Reward 18
Episode 12: Reward 31
Episode 13: Reward 21
Episode 14: Reward 26
Episode 15: Reward 13
Episode 16: Reward 11
Episode 17: Reward 13
Episode 18: Reward 31
Episode 19: Reward 34
Episode 20: Reward 28
Episode 21: Reward 26
Episode 22: Reward 27
Episode 23: Reward 18
Episode 24: Reward 39
Episode 25: Reward 16
Episode 26: Reward 11
Episode 27: Reward 13
Episode 28: Reward 29
Episode 29: Reward 49
Episode 30: Reward 27
Episode 31: Reward 14
Episode 32: Reward 15
Episode 33: Reward 35
Episode 34: Reward 30
Episode 35: Reward 11
Episode 36: Reward 48
Episode 37: Reward 32
Episode 38: Reward 12
Episode 39: Reward 39
Episode 40: Reward 29
Episode 41: Reward 17
Episode 42: Reward 26
Episode 43: Reward 13
Episode 44: Reward 19
Episode 45: Reward 25
Episode 46: Reward 60
Episode 47: Reward 35
Episode 48: Reward 29
Episode 49: Reward 40
Episode 50: Reward 44
Episode 51: Reward 37
Episode 52: Reward 51
Episode 53: Reward 29
Episode 54: Reward 18
Episode 55: Reward 27
Episode 56: Reward 42
Episode 57: Reward 18
Episode 58: Reward 31
Episode 59: Reward 37
Episode 60: Reward 59
Episode 61: Reward 37
Episode 62: Reward 21
Episode 63: Reward 54
Episode 64: Reward 30
Episode 65: Reward 29
Episode 66: Reward 85
Episode 67: Reward 27
Episode 68: Reward 62
Episode 69: Reward 29
Episode 70: Reward 47
Episode 71: Reward 41
Episode 72: Reward 57
Episode 73: Reward 25
Episode 74: Reward 18
Episode 75: Reward 23
Episode 76: Reward 23
Episode 77: Reward 58
Episode 78: Reward 37
Episode 79: Reward 36
Episode 80: Reward 35
Episode 81: Reward 12
Episode 82: Reward 76
Episode 83: Reward 36
Episode 84: Reward 40
Episode 85: Reward 29
Episode 86: Reward 31
Episode 87: Reward 24
Episode 88: Reward 26
Episode 89: Reward 15
Episode 90: Reward 66
Episode 91: Reward 74
Episode 92: Reward 72
Episode 93: Reward 25
Episode 94: Reward 47
Episode 95: Reward 23
Episode 96: Reward 34
Episode 97: Reward 57
Episode 98: Reward 45
Episode 99: Reward 52
Episode 100: Reward 72
Episode 101: Reward 63
Episode 102: Reward 35
Episode 103: Reward 50
Episode 104: Reward 31
Episode 105: Reward 102
Episode 106: Reward 33
Episode 107: Reward 45
Episode 108: Reward 50
Episode 109: Reward 54
Episode 110: Reward 64
Episode 111: Reward 45
Episode 112: Reward 57
Episode 113: Reward 30
Episode 114: Reward 61
Episode 115: Reward 29
Episode 116: Reward 19
Episode 117: Reward 123
Episode 118: Reward 40
Episode 119: Reward 23
Episode 120: Reward 20
Episode 121: Reward 50
Episode 122: Reward 84
Episode 123: Reward 65
Episode 124: Reward 83
Episode 125: Reward 76
Episode 126: Reward 21
Episode 127: Reward 17
Episode 128: Reward 18
Episode 129: Reward 78
Episode 130: Reward 19
Episode 131: Reward 36
Episode 132: Reward 40
Episode 133: Reward 96
Episode 134: Reward 111
Episode 135: Reward 144
Episode 136: Reward 87
Episode 137: Reward 46
Episode 138: Reward 52
Episode 139: Reward 33
Episode 140: Reward 56
Episode 141: Reward 39
Episode 142: Reward 50
Episode 143: Reward 87
Episode 144: Reward 94
Episode 145: Reward 47
Episode 146: Reward 56
Episode 147: Reward 48
Episode 148: Reward 69
Episode 149: Reward 132
Episode 150: Reward 46
Episode 151: Reward 93
Episode 152: Reward 42
Episode 153: Reward 99
Episode 154: Reward 32
Episode 155: Reward 65
Episode 156: Reward 73
Episode 157: Reward 32
Episode 158: Reward 54
Episode 159: Reward 38
Episode 160: Reward 92
Episode 161: Reward 29
Episode 162: Reward 36
Episode 163: Reward 50
Episode 164: Reward 107
Episode 165: Reward 141
Episode 166: Reward 32
Episode 167: Reward 19
Episode 168: Reward 21
Episode 169: Reward 37
