policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 0: Reward 37
Episode 1: Reward 9
Episode 2: Reward 18
Episode 3: Reward 48
Episode 4: Reward 21
Episode 5: Reward 18
Episode 6: Reward 19
Episode 7: Reward 32
Episode 8: Reward 13
Episode 9: Reward 10
Episode 10: Reward 25
Episode 11: Reward 21
Episode 12: Reward 32
Episode 13: Reward 16
Episode 14: Reward 25
Episode 15: Reward 16
Episode 16: Reward 14
Episode 17: Reward 12
Episode 18: Reward 18
Episode 19: Reward 42
Episode 20: Reward 19
Episode 21: Reward 23
Episode 22: Reward 13
Episode 23: Reward 40
Episode 24: Reward 21
Episode 25: Reward 29
Episode 26: Reward 16
Episode 27: Reward 44
Episode 28: Reward 29
Episode 29: Reward 15
Episode 30: Reward 12
Episode 31: Reward 20
Episode 32: Reward 15
Episode 33: Reward 18
Episode 34: Reward 31
Episode 35: Reward 15
Episode 36: Reward 73
Episode 37: Reward 72
Episode 38: Reward 23
Episode 39: Reward 31
Episode 40: Reward 66
Episode 41: Reward 16
Episode 42: Reward 30
Episode 43: Reward 17
Episode 44: Reward 15
Episode 45: Reward 75
Episode 46: Reward 18
Episode 47: Reward 24
Episode 48: Reward 21
Episode 49: Reward 60
Episode 50: Reward 18
Episode 51: Reward 27
Episode 52: Reward 16
Episode 53: Reward 19
Episode 54: Reward 13
Episode 55: Reward 80
Episode 56: Reward 38
Episode 57: Reward 40
Episode 58: Reward 34
Episode 59: Reward 42
Episode 60: Reward 33
Episode 61: Reward 55
Episode 62: Reward 78
Episode 63: Reward 53
Episode 64: Reward 56
Episode 65: Reward 20
Episode 66: Reward 42
Episode 67: Reward 67
Episode 68: Reward 37
Episode 69: Reward 38
Episode 70: Reward 52
Episode 71: Reward 101
Episode 72: Reward 14
Episode 73: Reward 35
Episode 74: Reward 12
Episode 75: Reward 47
Episode 76: Reward 34
Episode 77: Reward 41
Episode 78: Reward 21
Episode 79: Reward 30
Episode 80: Reward 33
Episode 81: Reward 29
Episode 82: Reward 65
Episode 83: Reward 40
Episode 84: Reward 46
Episode 85: Reward 17
Episode 86: Reward 38
Episode 87: Reward 64
Episode 88: Reward 33
Episode 89: Reward 92
Episode 90: Reward 57
Episode 91: Reward 32
Episode 92: Reward 24
Episode 93: Reward 87
Episode 94: Reward 61
Episode 95: Reward 59
Episode 96: Reward 39
Episode 97: Reward 44
Episode 98: Reward 52
Episode 99: Reward 24
Episode 100: Reward 45
Episode 101: Reward 41
Episode 102: Reward 31
Episode 103: Reward 45
Episode 104: Reward 19
Episode 105: Reward 38
Episode 106: Reward 97
Episode 107: Reward 84
Episode 108: Reward 87
Episode 109: Reward 50
Episode 110: Reward 42
Episode 111: Reward 29
Episode 112: Reward 55
Episode 113: Reward 36
Episode 114: Reward 19
Episode 115: Reward 98
