policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 0: Reward 32
Episode 1: Reward 36
Episode 2: Reward 20
Episode 3: Reward 16
Episode 4: Reward 19
Episode 5: Reward 11
Episode 6: Reward 35
Episode 7: Reward 14
Episode 8: Reward 17
Episode 9: Reward 101
Episode 10: Reward 38
Episode 11: Reward 21
Episode 12: Reward 54
Episode 13: Reward 38
Episode 14: Reward 13
Episode 15: Reward 28
Episode 16: Reward 23
Episode 17: Reward 30
Episode 18: Reward 22
Episode 19: Reward 20
Episode 20: Reward 23
Episode 21: Reward 34
Episode 22: Reward 30
Episode 23: Reward 51
Episode 24: Reward 22
Episode 25: Reward 11
Episode 26: Reward 13
Episode 27: Reward 40
Episode 28: Reward 45
Episode 29: Reward 44
Episode 30: Reward 29
Episode 31: Reward 33
Episode 32: Reward 23
Episode 33: Reward 19
Episode 34: Reward 39
Episode 35: Reward 49
Episode 36: Reward 19
Episode 37: Reward 13
Episode 38: Reward 38
Episode 39: Reward 17
Episode 40: Reward 52
Episode 41: Reward 34
Episode 42: Reward 50
Episode 43: Reward 71
Episode 44: Reward 24
Episode 45: Reward 15
Episode 46: Reward 10
Episode 47: Reward 31
Episode 48: Reward 18
Episode 49: Reward 18
Episode 50: Reward 49
Episode 51: Reward 36
Episode 52: Reward 14
Episode 53: Reward 17
Episode 54: Reward 14
Episode 55: Reward 22
Episode 56: Reward 42
Episode 57: Reward 53
Episode 58: Reward 17
Episode 59: Reward 56
Episode 60: Reward 45
Episode 61: Reward 46
Episode 62: Reward 25
Episode 63: Reward 31
Episode 64: Reward 37
Episode 65: Reward 56
Episode 66: Reward 62
Episode 67: Reward 32
Episode 68: Reward 18
Episode 69: Reward 17
Episode 70: Reward 26
Episode 71: Reward 15
Episode 72: Reward 27
Episode 73: Reward 33
Episode 74: Reward 30
Episode 75: Reward 27
Episode 76: Reward 86
Episode 77: Reward 57
Episode 78: Reward 21
Episode 79: Reward 37
Episode 80: Reward 36
Episode 81: Reward 34
Episode 82: Reward 47
Episode 83: Reward 44
Episode 84: Reward 26
Episode 85: Reward 59
Episode 86: Reward 41
Episode 87: Reward 108
Episode 88: Reward 38
Episode 89: Reward 45
Episode 90: Reward 58
Episode 91: Reward 56
Episode 92: Reward 22
Episode 93: Reward 31
Episode 94: Reward 77
Episode 95: Reward 27
Episode 96: Reward 61
Episode 97: Reward 19
Episode 98: Reward 53
Episode 99: Reward 26
Episode 100: Reward 28
Episode 101: Reward 54
Episode 102: Reward 32
Episode 103: Reward 51
Episode 104: Reward 48
Episode 105: Reward 39
Episode 106: Reward 50
Episode 107: Reward 101
Episode 108: Reward 47
Episode 109: Reward 59
Episode 110: Reward 67
Episode 111: Reward 55
Episode 112: Reward 26
Episode 113: Reward 37
Episode 114: Reward 44
Episode 115: Reward 41
Episode 116: Reward 37
Episode 117: Reward 34
Episode 118: Reward 52
Episode 119: Reward 34
Episode 120: Reward 31
Episode 121: Reward 36
Episode 122: Reward 59
Episode 123: Reward 53
Episode 124: Reward 53
Episode 125: Reward 35
Episode 126: Reward 42
Episode 127: Reward 47
Episode 128: Reward 48
Episode 129: Reward 105
Episode 130: Reward 37
Episode 131: Reward 31
Episode 132: Reward 82
Episode 133: Reward 104
Episode 134: Reward 50
Episode 135: Reward 28
Episode 136: Reward 19
Episode 137: Reward 37
Episode 138: Reward 57
Episode 139: Reward 41
Episode 140: Reward 34
Episode 141: Reward 50
Episode 142: Reward 23
Episode 143: Reward 52
Episode 144: Reward 49
Episode 145: Reward 41
Episode 146: Reward 48
Episode 147: Reward 36
Episode 148: Reward 58
Episode 149: Reward 37
Episode 150: Reward 79
Episode 151: Reward 41
Episode 152: Reward 78
Episode 153: Reward 32
Episode 154: Reward 88
Episode 155: Reward 42
Episode 156: Reward 36
Episode 157: Reward 49
Episode 158: Reward 46
Episode 159: Reward 65
Episode 160: Reward 39
Episode 161: Reward 35
Episode 162: Reward 53
Episode 163: Reward 190
Episode 164: Reward 71
Episode 165: Reward 33
Episode 166: Reward 93
Episode 167: Reward 45
Episode 168: Reward 123
Episode 169: Reward 65
Episode 170: Reward 45
Episode 171: Reward 24
Episode 172: Reward 87
Episode 173: Reward 39
Episode 174: Reward 78
Episode 175: Reward 50
Episode 176: Reward 24
Episode 177: Reward 35
Episode 178: Reward 70
Episode 179: Reward 90
Episode 180: Reward 20
Episode 181: Reward 60
Episode 182: Reward 33
Episode 183: Reward 38
Episode 184: Reward 90
Episode 185: Reward 91
Episode 186: Reward 24
Episode 187: Reward 43
Episode 188: Reward 40
Episode 189: Reward 52
Episode 190: Reward 34
Episode 191: Reward 51
Episode 192: Reward 30
Episode 193: Reward 96
Episode 194: Reward 95
Episode 195: Reward 130
Episode 196: Reward 65
Episode 197: Reward 56
Episode 198: Reward 36
Episode 199: Reward 93
Episode 200: Reward 90
Episode 201: Reward 84
Episode 202: Reward 66
Episode 203: Reward 90
Episode 204: Reward 116
Episode 205: Reward 59
Episode 206: Reward 64
Episode 207: Reward 51
Episode 208: Reward 75
Episode 209: Reward 39
Episode 210: Reward 63
Episode 211: Reward 85
Episode 212: Reward 59
Episode 213: Reward 83
Episode 214: Reward 62
Episode 215: Reward 50
Episode 216: Reward 126
Episode 217: Reward 78
Episode 218: Reward 169
Episode 219: Reward 116
Episode 220: Reward 61
Episode 221: Reward 58
Episode 222: Reward 76
Episode 223: Reward 50
Episode 224: Reward 96
Episode 225: Reward 126
Episode 226: Reward 125
Episode 227: Reward 57
Episode 228: Reward 72
Episode 229: Reward 114
Episode 230: Reward 35
Episode 231: Reward 42
Episode 232: Reward 72
Episode 233: Reward 93
Episode 234: Reward 67
Episode 235: Reward 102
Episode 236: Reward 164
Episode 237: Reward 56
Episode 238: Reward 106
Episode 239: Reward 75
Episode 240: Reward 155
Episode 241: Reward 143
Episode 242: Reward 39
Episode 243: Reward 198
Episode 244: Reward 187
Episode 245: Reward 101
Episode 246: Reward 143
Episode 247: Reward 69
Episode 248: Reward 178
Episode 249: Reward 154
Episode 250: Reward 34
Episode 251: Reward 103
Episode 252: Reward 125
Episode 253: Reward 138
Episode 254: Reward 113
Episode 255: Reward 98
Episode 256: Reward 76
Episode 257: Reward 54
Episode 258: Reward 106
Episode 259: Reward 153
Episode 260: Reward 25
Episode 261: Reward 177
Episode 262: Reward 69
Episode 263: Reward 116
Episode 264: Reward 74
Episode 265: Reward 167
Episode 266: Reward 66
Episode 267: Reward 100
Episode 268: Reward 151
Episode 269: Reward 116
Episode 270: Reward 200
Episode 271: Reward 90
Episode 272: Reward 67
Episode 273: Reward 52
Episode 274: Reward 16
Episode 275: Reward 198
Episode 276: Reward 121
Episode 277: Reward 94
Episode 278: Reward 67
Episode 279: Reward 56
Episode 280: Reward 141
Episode 281: Reward 40
Episode 282: Reward 73
Episode 283: Reward 89
Episode 284: Reward 73
Episode 285: Reward 47
Episode 286: Reward 24
Episode 287: Reward 44
Episode 288: Reward 43
Episode 289: Reward 101
Episode 290: Reward 109
Episode 291: Reward 81
Episode 292: Reward 67
Episode 293: Reward 76
Episode 294: Reward 90
Episode 295: Reward 168
Episode 296: Reward 83
Episode 297: Reward 62
Episode 298: Reward 133
Episode 299: Reward 106
Episode 300: Reward 95
Episode 301: Reward 30
Episode 302: Reward 98
Episode 303: Reward 56
Episode 304: Reward 194
Episode 305: Reward 152
Episode 306: Reward 59
Episode 307: Reward 121
Episode 308: Reward 69
Episode 309: Reward 167
Episode 310: Reward 82
Episode 311: Reward 173
Episode 312: Reward 194
Episode 313: Reward 107
Episode 314: Reward 141
Episode 315: Reward 191
Episode 316: Reward 100
Episode 317: Reward 128
Episode 318: Reward 62
Episode 319: Reward 200
Episode 320: Reward 180
Episode 321: Reward 119
Episode 322: Reward 70
Episode 323: Reward 172
Episode 324: Reward 124
Episode 325: Reward 93
Episode 326: Reward 200
Episode 327: Reward 188
Episode 328: Reward 31
Episode 329: Reward 92
Episode 330: Reward 148
Episode 331: Reward 195
Episode 332: Reward 99
Episode 333: Reward 110
Episode 334: Reward 121
Episode 335: Reward 115
Episode 336: Reward 76
Episode 337: Reward 24
Episode 338: Reward 142
Episode 339: Reward 116
Episode 340: Reward 145
Episode 341: Reward 200
Episode 342: Reward 148
Episode 343: Reward 82
Episode 344: Reward 70
Episode 345: Reward 91
Episode 346: Reward 75
Episode 347: Reward 118
Episode 348: Reward 166
Episode 349: Reward 40
Episode 350: Reward 116
Episode 351: Reward 102
Episode 352: Reward 138
Episode 353: Reward 131
Episode 354: Reward 200
Episode 355: Reward 87
Episode 356: Reward 83
Episode 357: Reward 125
Episode 358: Reward 81
Episode 359: Reward 186
Episode 360: Reward 70
Episode 361: Reward 193
Episode 362: Reward 176
Episode 363: Reward 200
Episode 364: Reward 129
Episode 365: Reward 187
Episode 366: Reward 116
Episode 367: Reward 200
Episode 368: Reward 96
Episode 369: Reward 141
Episode 370: Reward 161
Episode 371: Reward 131
Episode 372: Reward 173
Episode 373: Reward 135
