policy_gradient_wx.py:163: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor(state_list, dtype=torch.float).to(device)
/home/lixiang/.local/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned done = True. You should always call 'reset()' once you receive 'done = True' -- any further steps are undefined behavior.[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
policy_gradient_wx.py:105: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  action = torch.tensor(transition_dict['actions']).view(-1, 1).to(self.device)
Episode 0: Loss 150.78996858932078 dones_mean 21.3984375
Episode 1: Loss 135.0623084376566 dones_mean 20.109375
Episode 2: Loss 143.23591563478112 dones_mean 19.4375
Episode 3: Loss 91.16661641839892 dones_mean 19.921875
Episode 4: Loss 146.7867927029729 dones_mean 22.109375
Episode 5: Loss 114.93197591835633 dones_mean 20.1171875
Episode 6: Loss 126.45558509649709 dones_mean 20.578125
Episode 7: Loss 132.28824546234682 dones_mean 22.5546875
Episode 8: Loss 145.41360444249585 dones_mean 21.015625
Episode 9: Loss 126.48419675184414 dones_mean 21.140625
Episode 10: Loss 131.12741863075644 dones_mean 22.4375
Episode 11: Loss 143.60860587051138 dones_mean 20.5625
Episode 12: Loss 187.15342272538692 dones_mean 23.640625
Episode 13: Loss 148.13441934483126 dones_mean 21.140625
Episode 14: Loss 129.01727200765163 dones_mean 20.5546875
Episode 15: Loss 120.99967809813097 dones_mean 22.09375
Episode 16: Loss 126.66396649414673 dones_mean 21.1484375
Episode 17: Loss 138.5714057344012 dones_mean 19.8515625
Episode 18: Loss 140.82574127800763 dones_mean 20.125
Episode 19: Loss 159.30076298909262 dones_mean 21.8125
Episode 20: Loss 113.282744362019 dones_mean 20.5
Episode 21: Loss 148.1750949844718 dones_mean 21.21875
Episode 22: Loss 127.78498377045617 dones_mean 22.546875
Episode 23: Loss 123.04274105466902 dones_mean 22.1640625
Episode 24: Loss 130.3612713785842 dones_mean 21.7890625
Episode 25: Loss 138.8794408584945 dones_mean 22.6953125
Episode 26: Loss 117.85615346441045 dones_mean 21.296875
Episode 27: Loss 133.4560178378597 dones_mean 20.9375
Episode 28: Loss 101.06722925649956 dones_mean 20.3828125
Episode 29: Loss 88.59077773010358 dones_mean 20.1875
Episode 30: Loss 135.30681093176827 dones_mean 21.3984375
